YEAR,GEO,CATEGORY,TRADE,VALUE
2014-01-01,Alberta,Aircraft and other transportation equipment and parts,Export,341832800.0
2014-01-01,Alberta,All sections,Export,109649473300.0
2014-01-01,Alberta,"Basic and industrial chemical, plastic and rubber products",Export,7636486200.0
2014-01-01,Alberta,Consumer goods,Export,1747852000.0
2014-01-01,Alberta,Electronic and electrical equipment and parts,Export,605853400.0
2014-01-01,Alberta,Energy products,Export,91058917100.0
2014-01-01,Alberta,"Farm, fishing and intermediate food products",Export,2365278400.0
2014-01-01,Alberta,Forestry products and building and packaging materials,Export,2084483900.0
2014-01-01,Alberta,"Industrial machinery, equipment and parts",Export,2352038200.0
2014-01-01,Alberta,Metal and non-metallic mineral products,Export,671233000.0
2014-01-01,Alberta,Metal ores and non-metallic minerals,Export,180633500.0
2014-01-01,Alberta,Motor vehicles and parts,Export,212158900.0
2014-01-01,Alberta,Special transactions trade,Export,392705800.0
2014-01-01,British Columbia,Aircraft and other transportation equipment and parts,Export,268899100.0
2014-01-01,British Columbia,All sections,Export,18050109900.0
2014-01-01,British Columbia,"Basic and industrial chemical, plastic and rubber products",Export,539162100.0
2014-01-01,British Columbia,Consumer goods,Export,1554384000.0
2014-01-01,British Columbia,Electronic and electrical equipment and parts,Export,908252700.0
2014-01-01,British Columbia,Energy products,Export,4139078300.0
2014-01-01,British Columbia,"Farm, fishing and intermediate food products",Export,1178662800.0
2014-01-01,British Columbia,Forestry products and building and packaging materials,Export,5780519800.0
2014-01-01,British Columbia,"Industrial machinery, equipment and parts",Export,1197753600.0
2014-01-01,British Columbia,Metal and non-metallic mineral products,Export,1619403100.0
2014-01-01,British Columbia,Metal ores and non-metallic minerals,Export,273548500.0
2014-01-01,British Columbia,Motor vehicles and parts,Export,308583100.0
2014-01-01,British Columbia,Special transactions trade,Export,281862700.0
2014-01-01,Canada,Aircraft and other transportation equipment and parts,Export,11258457400.0
2014-01-01,Canada,All sections,Export,377273540500.0
2014-01-01,Canada,"Basic and industrial chemical, plastic and rubber products",Export,27705593700.0
2014-01-01,Canada,Consumer goods,Export,32678191400.0
2014-01-01,Canada,Electronic and electrical equipment and parts,Export,10664666600.0
2014-01-01,Canada,Energy products,Export,127471866200.0
2014-01-01,Canada,"Farm, fishing and intermediate food products",Export,15831554500.0
2014-01-01,Canada,Forestry products and building and packaging materials,Export,25276985300.0
2014-01-01,Canada,"Industrial machinery, equipment and parts",Export,18104135900.0
2014-01-01,Canada,Metal and non-metallic mineral products,Export,31397529700.0
2014-01-01,Canada,Metal ores and non-metallic minerals,Export,4523400000.0
2014-01-01,Canada,Motor vehicles and parts,Export,68134781900.00001
