YEAR,GEO,CATEGORY,TRADE,VALUE
2014-01-01,Canada,Special transactions trade,Export,4226377800.0
2014-01-01,Manitoba,Aircraft and other transportation equipment and parts,Export,636754900.0
2014-01-01,Manitoba,All sections,Export,9093311400.0
2014-01-01,Manitoba,"Basic and industrial chemical, plastic and rubber products",Export,588247500.0
2014-01-01,Manitoba,Consumer goods,Export,1152473500.0
2014-01-01,Manitoba,Electronic and electrical equipment and parts,Export,228434900.0
2014-01-01,Manitoba,Energy products,Export,1411598600.0
2014-01-01,Manitoba,"Farm, fishing and intermediate food products",Export,2096152200.0
2014-01-01,Manitoba,Forestry products and building and packaging materials,Export,387403400.0
2014-01-01,Manitoba,"Industrial machinery, equipment and parts",Export,1071592399.9999999
2014-01-01,Manitoba,Metal and non-metallic mineral products,Export,515458300.0
2014-01-01,Manitoba,Metal ores and non-metallic minerals,Export,47433200.0
2014-01-01,Manitoba,Motor vehicles and parts,Export,691742200.0
2014-01-01,Manitoba,Special transactions trade,Export,266020200.0
2014-01-01,New Brunswick,Aircraft and other transportation equipment and parts,Export,14794200.0
2014-01-01,New Brunswick,All sections,Export,11977012800.0
2014-01-01,New Brunswick,"Basic and industrial chemical, plastic and rubber products",Export,4609911600.0
2014-01-01,New Brunswick,Consumer goods,Export,643674600.0
2014-01-01,New Brunswick,Electronic and electrical equipment and parts,Export,52662200.0
2014-01-01,New Brunswick,Energy products,Export,4075171800.0
2014-01-01,New Brunswick,"Farm, fishing and intermediate food products",Export,781288300.0
2014-01-01,New Brunswick,Forestry products and building and packaging materials,Export,1300545500.0
2014-01-01,New Brunswick,"Industrial machinery, equipment and parts",Export,78062500.0
2014-01-01,New Brunswick,Metal and non-metallic mineral products,Export,222380100.0
2014-01-01,New Brunswick,Metal ores and non-metallic minerals,Export,128505800.0
2014-01-01,New Brunswick,Motor vehicles and parts,Export,11077000.0
2014-01-01,New Brunswick,Special transactions trade,Export,58939100.0
2014-01-01,Newfoundland and Labrador,Aircraft and other transportation equipment and parts,Export,1889000.0
2014-01-01,Newfoundland and Labrador,All sections,Export,6872205900.0
2014-01-01,Newfoundland and Labrador,"Basic and industrial chemical, plastic and rubber products",Export,15204200.0
2014-01-01,Newfoundland and Labrador,Consumer goods,Export,63687400.0
2014-01-01,Newfoundland and Labrador,Electronic and electrical equipment and parts,Export,4694700.0
2014-01-01,Newfoundland and Labrador,Energy products,Export,6388261700.0
2014-01-01,Newfoundland and Labrador,"Farm, fishing and intermediate food products",Export,270088000.0
2014-01-01,Newfoundland and Labrador,Forestry products and building and packaging materials,Export,73445600.0
2014-01-01,Newfoundland and Labrador,"Industrial machinery, equipment and parts",Export,8474400.0
2014-01-01,Newfoundland and Labrador,Metal and non-metallic mineral products,Export,3633500.0
2014-01-01,Newfoundland and Labrador,Metal ores and non-metallic minerals,Export,5213600.0
2014-01-01,Newfoundland and Labrador,Motor vehicles and parts,Export,736500.0
2014-01-01,Newfoundland and Labrador,Special transactions trade,Export,36877300.0
2014-01-01,Northwest Territories,Aircraft and other transportation equipment and parts,Export,216400.0
2014-01-01,Northwest Territories,All sections,Export,1413000.0
2014-01-01,Northwest Territories,"Basic and industrial chemical, plastic and rubber products",Export,0.0
2014-01-01,Northwest Territories,Consumer goods,Export,45400.0
2014-01-01,Northwest Territories,Electronic and electrical equipment and parts,Export,87400.0
2014-01-01,Northwest Territories,Energy products,Export,0.0
2014-01-01,Northwest Territories,"Farm, fishing and intermediate food products",Export,0.0
2014-01-01,Northwest Territories,Forestry products and building and packaging materials,Export,29900.0
2014-01-01,Northwest Territories,"Industrial machinery, equipment and parts",Export,185000.0
2014-01-01,Northwest Territories,Metal and non-metallic mineral products,Export,197000.0
2014-01-01,Northwest Territories,Metal ores and non-metallic minerals,Export,433100.0
2014-01-01,Northwest Territories,Motor vehicles and parts,Export,4800.0
2014-01-01,Northwest Territories,Special transactions trade,Export,213900.0
2014-01-01,Nova Scotia,Aircraft and other transportation equipment and parts,Export,47802100.0
2014-01-01,Nova Scotia,All sections,Export,3885102000.0
2014-01-01,Nova Scotia,"Basic and industrial chemical, plastic and rubber products",Export,283442900.0
2014-01-01,Nova Scotia,Consumer goods,Export,439626600.0
2014-01-01,Nova Scotia,Electronic and electrical equipment and parts,Export,95643600.0
2014-01-01,Nova Scotia,Energy products,Export,658528200.0
2014-01-01,Nova Scotia,"Farm, fishing and intermediate food products",Export,596339400.0
2014-01-01,Nova Scotia,Forestry products and building and packaging materials,Export,414339800.0
2014-01-01,Nova Scotia,"Industrial machinery, equipment and parts",Export,78974100.0
2014-01-01,Nova Scotia,Metal and non-metallic mineral products,Export,105307700.0
2014-01-01,Nova Scotia,Metal ores and non-metallic minerals,Export,47843800.0
2014-01-01,Nova Scotia,Motor vehicles and parts,Export,1071156100.0000001
2014-01-01,Nova Scotia,Special transactions trade,Export,46097800.0
2014-01-01,Nunavut,Aircraft and other transportation equipment and parts,Export,0.0
2014-01-01,Nunavut,All sections,Export,514600.0
2014-01-01,Nunavut,"Basic and industrial chemical, plastic and rubber products",Export,0.0
2014-01-01,Nunavut,Consumer goods,Export,68000.0
2014-01-01,Nunavut,Electronic and electrical equipment and parts,Export,200.0
2014-01-01,Nunavut,Energy products,Export,0.0
2014-01-01,Nunavut,"Farm, fishing and intermediate food products",Export,98500.0
2014-01-01,Nunavut,Forestry products and building and packaging materials,Export,0.0
2014-01-01,Nunavut,"Industrial machinery, equipment and parts",Export,13100.0
2014-01-01,Nunavut,Metal and non-metallic mineral products,Export,109400.0
2014-01-01,Nunavut,Metal ores and non-metallic minerals,Export,6800.0
2014-01-01,Nunavut,Motor vehicles and parts,Export,5000.0
2014-01-01,Nunavut,Special transactions trade,Export,213700.0
2014-01-01,Ontario,Aircraft and other transportation equipment and parts,Export,2488457400.0
2014-01-01,Ontario,All sections,Export,140996259300.0
2014-01-01,Ontario,"Basic and industrial chemical, plastic and rubber products",Export,10118819900.0
2014-01-01,Ontario,Consumer goods,Export,18719022400.0
2014-01-01,Ontario,Electronic and electrical equipment and parts,Export,5568811100.0
2014-01-01,Ontario,Energy products,Export,2081019400.0
2014-01-01,Ontario,"Farm, fishing and intermediate food products",Export,2875750800.0
2014-01-01,Ontario,Forestry products and building and packaging materials,Export,7098088300.0
2014-01-01,Ontario,"Industrial machinery, equipment and parts",Export,10032500000.0
2014-01-01,Ontario,Metal and non-metallic mineral products,Export,16409091500.0
2014-01-01,Ontario,Metal ores and non-metallic minerals,Export,337210200.0
2014-01-01,Ontario,Motor vehicles and parts,Export,63157774200.0
2014-01-01,Ontario,Special transactions trade,Export,2109714100.0
2014-01-01,Prince Edward Island,Aircraft and other transportation equipment and parts,Export,51296200.0
2014-01-01,Prince Edward Island,All sections,Export,688251000.0
2014-01-01,Prince Edward Island,"Basic and industrial chemical, plastic and rubber products",Export,25730800.0
2014-01-01,Prince Edward Island,Consumer goods,Export,276897200.0
2014-01-01,Prince Edward Island,Electronic and electrical equipment and parts,Export,9057800.0
2014-01-01,Prince Edward Island,Energy products,Export,6800.0
2014-01-01,Prince Edward Island,"Farm, fishing and intermediate food products",Export,208985000.0
2014-01-01,Prince Edward Island,Forestry products and building and packaging materials,Export,7232700.0
2014-01-01,Prince Edward Island,"Industrial machinery, equipment and parts",Export,20075400.0
2014-01-01,Prince Edward Island,Metal and non-metallic mineral products,Export,2590500.0
2014-01-01,Prince Edward Island,Metal ores and non-metallic minerals,Export,1717100.0
2014-01-01,Prince Edward Island,Motor vehicles and parts,Export,4804700.0
2014-01-01,Prince Edward Island,Special transactions trade,Export,79856800.0
2014-01-01,Quebec,Aircraft and other transportation equipment and parts,Export,7402094000.0
2014-01-01,Quebec,All sections,Export,53214770400.0
2014-01-01,Quebec,"Basic and industrial chemical, plastic and rubber products",Export,3636428500.0
2014-01-01,Quebec,Consumer goods,Export,8007317000.0
2014-01-01,Quebec,Electronic and electrical equipment and parts,Export,3072517400.0
2014-01-01,Quebec,Energy products,Export,3629017700.0
2014-01-01,Quebec,"Farm, fishing and intermediate food products",Export,1171467800.0
2014-01-01,Quebec,Forestry products and building and packaging materials,Export,7895253700.0
2014-01-01,Quebec,"Industrial machinery, equipment and parts",Export,2792311000.0
2014-01-01,Quebec,Metal and non-metallic mineral products,Export,11443712800.0
2014-01-01,Quebec,Metal ores and non-metallic minerals,Export,668406900.0
2014-01-01,Quebec,Motor vehicles and parts,Export,2608190000.0
2014-01-01,Quebec,Special transactions trade,Export,888053600.0
2014-01-01,Saskatchewan,Aircraft and other transportation equipment and parts,Export,4407200.0
2014-01-01,Saskatchewan,All sections,Export,22736514600.0
2014-01-01,Saskatchewan,"Basic and industrial chemical, plastic and rubber products",Export,252160100.0
2014-01-01,Saskatchewan,Consumer goods,Export,72769500.0
2014-01-01,Saskatchewan,Electronic and electrical equipment and parts,Export,117749300.0
2014-01-01,Saskatchewan,Energy products,Export,14030165100.0
2014-01-01,Saskatchewan,"Farm, fishing and intermediate food products",Export,4287443099.9999995
2014-01-01,Saskatchewan,Forestry products and building and packaging materials,Export,235309300.0
2014-01-01,Saskatchewan,"Industrial machinery, equipment and parts",Export,472118200.0
2014-01-01,Saskatchewan,Metal and non-metallic mineral products,Export,404322400.0
2014-01-01,Saskatchewan,Metal ores and non-metallic minerals,Export,2725882500.0
2014-01-01,Saskatchewan,Motor vehicles and parts,Export,68512400.0
2014-01-01,Saskatchewan,Special transactions trade,Export,65675600.00000001
2014-01-01,Yukon,Aircraft and other transportation equipment and parts,Export,13900.0
2014-01-01,Yukon,All sections,Export,108602200.0
2014-01-01,Yukon,"Basic and industrial chemical, plastic and rubber products",Export,0.0
2014-01-01,Yukon,Consumer goods,Export,373700.0
2014-01-01,Yukon,Electronic and electrical equipment and parts,Export,901900.0
2014-01-01,Yukon,Energy products,Export,101600.0
2014-01-01,Yukon,"Farm, fishing and intermediate food products",Export,0.0
2014-01-01,Yukon,Forestry products and building and packaging materials,Export,333400.0
2014-01-01,Yukon,"Industrial machinery, equipment and parts",Export,37800.0
2014-01-01,Yukon,Metal and non-metallic mineral products,Export,90400.0
2014-01-01,Yukon,Metal ores and non-metallic minerals,Export,106565100.0
2014-01-01,Yukon,Motor vehicles and parts,Export,37100.0
2014-01-01,Yukon,Special transactions trade,Export,147300.0
2015-01-01,Alberta,Aircraft and other transportation equipment and parts,Export,326394800.0
2015-01-01,Alberta,All sections,Export,80555754600.0
2015-01-01,Alberta,"Basic and industrial chemical, plastic and rubber products",Export,7445722500.0
2015-01-01,Alberta,Consumer goods,Export,2031862400.0
2015-01-01,Alberta,Electronic and electrical equipment and parts,Export,517641800.0
2015-01-01,Alberta,Energy products,Export,62531498100.0
2015-01-01,Alberta,"Farm, fishing and intermediate food products",Export,2125097400.0
2015-01-01,Alberta,Forestry products and building and packaging materials,Export,2224379700.0
2015-01-01,Alberta,"Industrial machinery, equipment and parts",Export,1777888500.0
2015-01-01,Alberta,Metal and non-metallic mineral products,Export,644101000.0
2015-01-01,Alberta,Metal ores and non-metallic minerals,Export,213862600.0
2015-01-01,Alberta,Motor vehicles and parts,Export,257432800.0
2015-01-01,Alberta,Special transactions trade,Export,459872900.0
2015-01-01,British Columbia,Aircraft and other transportation equipment and parts,Export,296455700.0
2015-01-01,British Columbia,All sections,Export,18811909600.0
2015-01-01,British Columbia,"Basic and industrial chemical, plastic and rubber products",Export,573957900.0
2015-01-01,British Columbia,Consumer goods,Export,1963800300.0
2015-01-01,British Columbia,Electronic and electrical equipment and parts,Export,1039328600.0
2015-01-01,British Columbia,Energy products,Export,2825210400.0
2015-01-01,British Columbia,"Farm, fishing and intermediate food products",Export,1487156500.0
2015-01-01,British Columbia,Forestry products and building and packaging materials,Export,6498081500.0
2015-01-01,British Columbia,"Industrial machinery, equipment and parts",Export,1476273000.0
2015-01-01,British Columbia,Metal and non-metallic mineral products,Export,1765753000.0
2015-01-01,British Columbia,Metal ores and non-metallic minerals,Export,147624800.0
2015-01-01,British Columbia,Motor vehicles and parts,Export,407946700.0
2015-01-01,British Columbia,Special transactions trade,Export,330321200.0
2015-01-01,Canada,Aircraft and other transportation equipment and parts,Export,13050468500.0
2015-01-01,Canada,All sections,Export,366526492600.0
2015-01-01,Canada,"Basic and industrial chemical, plastic and rubber products",Export,26598020000.0
2015-01-01,Canada,Consumer goods,Export,40716318900.0
2015-01-01,Canada,Electronic and electrical equipment and parts,Export,11932673800.0
2015-01-01,Canada,Energy products,Export,89444663800.0
2015-01-01,Canada,"Farm, fishing and intermediate food products",Export,16534453800.0
2015-01-01,Canada,Forestry products and building and packaging materials,Export,28497445400.0
2015-01-01,Canada,"Industrial machinery, equipment and parts",Export,20001972300.0
2015-01-01,Canada,Metal and non-metallic mineral products,Export,31645778600.0
2015-01-01,Canada,Metal ores and non-metallic minerals,Export,5190957000.0
2015-01-01,Canada,Motor vehicles and parts,Export,77952614300.0
2015-01-01,Canada,Special transactions trade,Export,4961126400.0
2015-01-01,Manitoba,Aircraft and other transportation equipment and parts,Export,734712700.0
2015-01-01,Manitoba,All sections,Export,9527550300.0
2015-01-01,Manitoba,"Basic and industrial chemical, plastic and rubber products",Export,753191600.0
2015-01-01,Manitoba,Consumer goods,Export,1621176600.0
2015-01-01,Manitoba,Electronic and electrical equipment and parts,Export,264675200.0
2015-01-01,Manitoba,Energy products,Export,1034685700.0
2015-01-01,Manitoba,"Farm, fishing and intermediate food products",Export,1971703900.0
2015-01-01,Manitoba,Forestry products and building and packaging materials,Export,430199400.0
2015-01-01,Manitoba,"Industrial machinery, equipment and parts",Export,946252300.0
2015-01-01,Manitoba,Metal and non-metallic mineral products,Export,459202900.0
2015-01-01,Manitoba,Metal ores and non-metallic minerals,Export,62980200.0
2015-01-01,Manitoba,Motor vehicles and parts,Export,923642300.0
2015-01-01,Manitoba,Special transactions trade,Export,325127500.0
2015-01-01,New Brunswick,Aircraft and other transportation equipment and parts,Export,14471300.0
2015-01-01,New Brunswick,All sections,Export,11052653900.0
2015-01-01,New Brunswick,"Basic and industrial chemical, plastic and rubber products",Export,3336694800.0
2015-01-01,New Brunswick,Consumer goods,Export,818831100.0
2015-01-01,New Brunswick,Electronic and electrical equipment and parts,Export,54747600.0
2015-01-01,New Brunswick,Energy products,Export,3982879900.0
2015-01-01,New Brunswick,"Farm, fishing and intermediate food products",Export,995845000.0
2015-01-01,New Brunswick,Forestry products and building and packaging materials,Export,1371194600.0
2015-01-01,New Brunswick,"Industrial machinery, equipment and parts",Export,107676000.0
2015-01-01,New Brunswick,Metal and non-metallic mineral products,Export,190534900.0
2015-01-01,New Brunswick,Metal ores and non-metallic minerals,Export,93275100.0
2015-01-01,New Brunswick,Motor vehicles and parts,Export,17077700.0
2015-01-01,New Brunswick,Special transactions trade,Export,69425800.0
2015-01-01,Newfoundland and Labrador,Aircraft and other transportation equipment and parts,Export,4124899.9999999995
2015-01-01,Newfoundland and Labrador,All sections,Export,6192289000.0
2015-01-01,Newfoundland and Labrador,"Basic and industrial chemical, plastic and rubber products",Export,81795700.0
2015-01-01,Newfoundland and Labrador,Consumer goods,Export,90918600.0
2015-01-01,Newfoundland and Labrador,Electronic and electrical equipment and parts,Export,7795500.0
2015-01-01,Newfoundland and Labrador,Energy products,Export,5515794200.0
2015-01-01,Newfoundland and Labrador,"Farm, fishing and intermediate food products",Export,332305900.0
2015-01-01,Newfoundland and Labrador,Forestry products and building and packaging materials,Export,101497400.0
2015-01-01,Newfoundland and Labrador,"Industrial machinery, equipment and parts",Export,4904600.0
2015-01-01,Newfoundland and Labrador,Metal and non-metallic mineral products,Export,2373100.0
2015-01-01,Newfoundland and Labrador,Metal ores and non-metallic minerals,Export,6225200.0
2015-01-01,Newfoundland and Labrador,Motor vehicles and parts,Export,1056000.0
2015-01-01,Newfoundland and Labrador,Special transactions trade,Export,43497900.0
2015-01-01,Northwest Territories,Aircraft and other transportation equipment and parts,Export,40500.0
2015-01-01,Northwest Territories,All sections,Export,1851700.0
2015-01-01,Northwest Territories,"Basic and industrial chemical, plastic and rubber products",Export,1000.0
2015-01-01,Northwest Territories,Consumer goods,Export,128699.99999999999
2015-01-01,Northwest Territories,Electronic and electrical equipment and parts,Export,118700.0
2015-01-01,Northwest Territories,Energy products,Export,0.0
2015-01-01,Northwest Territories,"Farm, fishing and intermediate food products",Export,0.0
2015-01-01,Northwest Territories,Forestry products and building and packaging materials,Export,77500.0
2015-01-01,Northwest Territories,"Industrial machinery, equipment and parts",Export,417700.0
2015-01-01,Northwest Territories,Metal and non-metallic mineral products,Export,250800.0
2015-01-01,Northwest Territories,Metal ores and non-metallic minerals,Export,542200.0
2015-01-01,Northwest Territories,Motor vehicles and parts,Export,11800.0
2015-01-01,Northwest Territories,Special transactions trade,Export,262700.0
2015-01-01,Nova Scotia,Aircraft and other transportation equipment and parts,Export,51341000.0
2015-01-01,Nova Scotia,All sections,Export,3787032900.0
2015-01-01,Nova Scotia,"Basic and industrial chemical, plastic and rubber products",Export,254858000.0
2015-01-01,Nova Scotia,Consumer goods,Export,499920700.0
2015-01-01,Nova Scotia,Electronic and electrical equipment and parts,Export,108643900.0
2015-01-01,Nova Scotia,Energy products,Export,202285600.0
2015-01-01,Nova Scotia,"Farm, fishing and intermediate food products",Export,802804200.0
2015-01-01,Nova Scotia,Forestry products and building and packaging materials,Export,417557700.0
2015-01-01,Nova Scotia,"Industrial machinery, equipment and parts",Export,77778700.0
2015-01-01,Nova Scotia,Metal and non-metallic mineral products,Export,95560200.0
2015-01-01,Nova Scotia,Metal ores and non-metallic minerals,Export,58520500.0
2015-01-01,Nova Scotia,Motor vehicles and parts,Export,1164327400.0
2015-01-01,Nova Scotia,Special transactions trade,Export,53435000.0
2015-01-01,Nunavut,Aircraft and other transportation equipment and parts,Export,140100.0
2015-01-01,Nunavut,All sections,Export,551500.0
2015-01-01,Nunavut,"Basic and industrial chemical, plastic and rubber products",Export,0.0
2015-01-01,Nunavut,Consumer goods,Export,21500.0
2015-01-01,Nunavut,Electronic and electrical equipment and parts,Export,0.0
2015-01-01,Nunavut,Energy products,Export,0.0
2015-01-01,Nunavut,"Farm, fishing and intermediate food products",Export,127400.0
2015-01-01,Nunavut,Forestry products and building and packaging materials,Export,0.0
2015-01-01,Nunavut,"Industrial machinery, equipment and parts",Export,0.0
2015-01-01,Nunavut,Metal and non-metallic mineral products,Export,0.0
2015-01-01,Nunavut,Metal ores and non-metallic minerals,Export,0.0
2015-01-01,Nunavut,Motor vehicles and parts,Export,0.0
2015-01-01,Nunavut,Special transactions trade,Export,262500.0
2015-01-01,Ontario,Aircraft and other transportation equipment and parts,Export,3015548700.0
2015-01-01,Ontario,All sections,Export,158594815100.0
2015-01-01,Ontario,"Basic and industrial chemical, plastic and rubber products",Export,10142932100.0
2015-01-01,Ontario,Consumer goods,Export,23376763400.0
2015-01-01,Ontario,Electronic and electrical equipment and parts,Export,6539793200.0
2015-01-01,Ontario,Energy products,Export,1840408900.0
2015-01-01,Ontario,"Farm, fishing and intermediate food products",Export,3168058900.0
2015-01-01,Ontario,Forestry products and building and packaging materials,Export,8259450100.0
2015-01-01,Ontario,"Industrial machinery, equipment and parts",Export,11981328900.0
2015-01-01,Ontario,Metal and non-metallic mineral products,Export,15612656500.0
2015-01-01,Ontario,Metal ores and non-metallic minerals,Export,348877500.0
2015-01-01,Ontario,Motor vehicles and parts,Export,71809968100.0
2015-01-01,Ontario,Special transactions trade,Export,2499028800.0
2015-01-01,Prince Edward Island,Aircraft and other transportation equipment and parts,Export,60955400.0
2015-01-01,Prince Edward Island,All sections,Export,804013400.0
2015-01-01,Prince Edward Island,"Basic and industrial chemical, plastic and rubber products",Export,25582000.0
2015-01-01,Prince Edward Island,Consumer goods,Export,335099600.0
2015-01-01,Prince Edward Island,Electronic and electrical equipment and parts,Export,10308000.0
2015-01-01,Prince Edward Island,Energy products,Export,5300.0
2015-01-01,Prince Edward Island,"Farm, fishing and intermediate food products",Export,223125300.0
2015-01-01,Prince Edward Island,Forestry products and building and packaging materials,Export,21806500.0
2015-01-01,Prince Edward Island,"Industrial machinery, equipment and parts",Export,31060100.0
2015-01-01,Prince Edward Island,Metal and non-metallic mineral products,Export,2262400.0
2015-01-01,Prince Edward Island,Metal ores and non-metallic minerals,Export,3940400.0
2015-01-01,Prince Edward Island,Motor vehicles and parts,Export,3397700.0
2015-01-01,Prince Edward Island,Special transactions trade,Export,86470900.0
2015-01-01,Quebec,Aircraft and other transportation equipment and parts,Export,8541635000.0
2015-01-01,Quebec,All sections,Export,59462435500.0
2015-01-01,Quebec,"Basic and industrial chemical, plastic and rubber products",Export,3747004500.0
2015-01-01,Quebec,Consumer goods,Export,9911087400.0
2015-01-01,Quebec,Electronic and electrical equipment and parts,Export,3246940200.0
2015-01-01,Quebec,Energy products,Export,3325010800.0
2015-01-01,Quebec,"Farm, fishing and intermediate food products",Export,1425564300.0
2015-01-01,Quebec,Forestry products and building and packaging materials,Export,8889924600.0
2015-01-01,Quebec,"Industrial machinery, equipment and parts",Export,3276346700.0
2015-01-01,Quebec,Metal and non-metallic mineral products,Export,12190887100.0
2015-01-01,Quebec,Metal ores and non-metallic minerals,Export,597824300.0
2015-01-01,Quebec,Motor vehicles and parts,Export,3293368900.0
2015-01-01,Quebec,Special transactions trade,Export,1016841600.0
2015-01-01,Saskatchewan,Aircraft and other transportation equipment and parts,Export,4532400.0
2015-01-01,Saskatchewan,All sections,Export,17629318200.0
2015-01-01,Saskatchewan,"Basic and industrial chemical, plastic and rubber products",Export,236247000.0
2015-01-01,Saskatchewan,Consumer goods,Export,66461700.0
2015-01-01,Saskatchewan,Electronic and electrical equipment and parts,Export,142543800.0
2015-01-01,Saskatchewan,Energy products,Export,8184862000.0
2015-01-01,Saskatchewan,"Farm, fishing and intermediate food products",Export,4002661000.0
2015-01-01,Saskatchewan,Forestry products and building and packaging materials,Export,282868100.0
2015-01-01,Saskatchewan,"Industrial machinery, equipment and parts",Export,321977100.0
2015-01-01,Saskatchewan,Metal and non-metallic mineral products,Export,681015000.0
2015-01-01,Saskatchewan,Metal ores and non-metallic minerals,Export,3555370200.0
2015-01-01,Saskatchewan,Motor vehicles and parts,Export,74385000.0
2015-01-01,Saskatchewan,Special transactions trade,Export,76394900.0
2015-01-01,Yukon,Aircraft and other transportation equipment and parts,Export,115900.0
2015-01-01,Yukon,All sections,Export,106317100.0
2015-01-01,Yukon,"Basic and industrial chemical, plastic and rubber products",Export,32800.0
2015-01-01,Yukon,Consumer goods,Export,246800.0
2015-01-01,Yukon,Electronic and electrical equipment and parts,Export,137300.0
2015-01-01,Yukon,Energy products,Export,2023000.0
2015-01-01,Yukon,"Farm, fishing and intermediate food products",Export,4000.0
2015-01-01,Yukon,Forestry products and building and packaging materials,Export,408300.0
2015-01-01,Yukon,"Industrial machinery, equipment and parts",Export,68700.0
2015-01-01,Yukon,Metal and non-metallic mineral products,Export,1181500.0
2015-01-01,Yukon,Metal ores and non-metallic minerals,Export,101914000.0
2015-01-01,Yukon,Motor vehicles and parts,Export,0.0
2015-01-01,Yukon,Special transactions trade,Export,184800.0
2016-01-01,Alberta,Aircraft and other transportation equipment and parts,Export,292205300.0
2016-01-01,Alberta,All sections,Export,68621479500.0
2016-01-01,Alberta,"Basic and industrial chemical, plastic and rubber products",Export,6976760200.0
2016-01-01,Alberta,Consumer goods,Export,2092521600.0
2016-01-01,Alberta,Electronic and electrical equipment and parts,Export,452462200.0
2016-01-01,Alberta,Energy products,Export,51829682700.0
2016-01-01,Alberta,"Farm, fishing and intermediate food products",Export,2125222700.0000002
2016-01-01,Alberta,Forestry products and building and packaging materials,Export,2352961200.0
2016-01-01,Alberta,"Industrial machinery, equipment and parts",Export,1114932900.0
2016-01-01,Alberta,Metal and non-metallic mineral products,Export,532649199.99999994
2016-01-01,Alberta,Metal ores and non-metallic minerals,Export,171694000.0
2016-01-01,Alberta,Motor vehicles and parts,Export,278819200.0
2016-01-01,Alberta,Special transactions trade,Export,401568300.0
2016-01-01,British Columbia,Aircraft and other transportation equipment and parts,Export,250467400.0
2016-01-01,British Columbia,All sections,Export,20892439800.0
2016-01-01,British Columbia,"Basic and industrial chemical, plastic and rubber products",Export,542114100.0
2016-01-01,British Columbia,Consumer goods,Export,2157932000.0
2016-01-01,British Columbia,Electronic and electrical equipment and parts,Export,1009699200.0
2016-01-01,British Columbia,Energy products,Export,3452355100.0
2016-01-01,British Columbia,"Farm, fishing and intermediate food products",Export,1581299600.0
2016-01-01,British Columbia,Forestry products and building and packaging materials,Export,7581889900.0
2016-01-01,British Columbia,"Industrial machinery, equipment and parts",Export,1368843500.0
2016-01-01,British Columbia,Metal and non-metallic mineral products,Export,2173004500.0
2016-01-01,British Columbia,Metal ores and non-metallic minerals,Export,101756600.0
2016-01-01,British Columbia,Motor vehicles and parts,Export,357367300.0
2016-01-01,British Columbia,Special transactions trade,Export,315710700.0
2016-01-01,Canada,Aircraft and other transportation equipment and parts,Export,11148387800.0
2016-01-01,Canada,All sections,Export,353775441000.0
2016-01-01,Canada,"Basic and industrial chemical, plastic and rubber products",Export,25071668300.0
2016-01-01,Canada,Consumer goods,Export,42758259200.0
